league_name,club,club_id,player_name,player_id,player_url,position,age,nationality,market_value,market_value_eur,squad_url
2. Bundesliga,Hertha BSC,44,Fabian Reese,227102,https://www.transfermarkt.com/fabian-reese/profil/spieler/227102,"Fabian Reese 
Left Winger",27.0,Germany,€5.00m,5000000.0,https://www.transfermarkt.com/hertha-bsc/kader/verein/44
2. Bundesliga,Hertha BSC,44,Jón Dagur Thorsteinsson,331739,https://www.transfermarkt.com/jon-dagur-thorsteinsson/profil/spieler/331739,"Jón Dagur Thorsteinsson
Left Winger",24.0,Iceland,€800k,800000.0,https://www.transfermarkt.com/hertha-bsc/kader/verein/44
2. Bundesliga,Hertha BSC,44,Dion Ajvazi,701825,https://www.transfermarkt.com/dion-ajvazi/profil/spieler/701825,"Dion Ajvazi
Left Winger",29.0,Albania|Kosovo,€175k,175000.0,https://www.transfermarkt.com/hertha-bsc/kader/verein/44
2. Bundesliga,Hertha BSC,44,Marten Winkler,574569,https://www.transfermarkt.com/marten-winkler/profil/spieler/574569,"Marten Winkler
Right Winger",22.0,Germany,€1.00m,1000000.0,https://www.transfermarkt.com/hertha-bsc/kader/verein/44
2. Bundesliga,Hertha BSC,44,Dawid Kownacki,208167,https://www.transfermarkt.com/dawid-kownacki/profil/spieler/208167,"Dawid Kownacki 
Centre-Forward",28.0,Poland,€2.50m,2500000.0,https://www.transfermarkt.com/hertha-bsc/kader/verein/44
2. Bundesliga,Hertha BSC,44,Sebastian Grönning,439456,https://www.transfermarkt.com/sebastian-gronning/profil/spieler/439456,"Sebastian Grönning
Centre-Forward",17.0,Denmark,€700k,700000.0,https://www.transfermarkt.com/hertha-bsc/kader/verein/44
2. Bundesliga,Hertha BSC,44,Luca Schuler,388029,https://www.transfermarkt.com/luca-schuler/profil/spieler/388029,"Luca Schuler
Centre-Forward",18.0,Germany,€600k,600000.0,https://www.transfermarkt.com/hertha-bsc/kader/verein/44
2. Bundesliga,Holstein Kiel,269,Jonas Krumrey,531637,https://www.transfermarkt.com/jonas-krumrey/profil/spieler/531637,"Jonas Krumrey
Goalkeeper",21.0,Germany,€800k,800000.0,https://www.transfermarkt.com/holstein-kiel/kader/verein/269
2. Bundesliga,Holstein Kiel,269,Timon Weiner,296428,https://www.transfermarkt.com/timon-weiner/profil/spieler/296428,"Timon Weiner
Goalkeeper",26.0,Germany,€500k,500000.0,https://www.transfermarkt.com/holstein-kiel/kader/verein/269
2. Bundesliga,Holstein Kiel,269,Marcel Engelhardt,124080,https://www.transfermarkt.com/marcel-engelhardt/profil/spieler/124080,"Marcel Engelhardt
Goalkeeper",31.0,Germany,€175k,175000.0,https://www.transfermarkt.com/holstein-kiel/kader/verein/269
2. Bundesliga,Holstein Kiel,269,Lio Rothenhagen,939807,https://www.transfermarkt.com/lio-rothenhagen/profil/spieler/939807,"Lio Rothenhagen
Goalkeeper",41.0,Germany,€100k,100000.0,https://www.transfermarkt.com/holstein-kiel/kader/verein/269
2. Bundesliga,Holstein Kiel,269,Tyler Doğan,883902,https://www.transfermarkt.com/tyler-dogan/profil/spieler/883902,"Tyler Doğan
Goalkeeper",42.0,Germany|Türkiye,€75k,75000.0,https://www.transfermarkt.com/holstein-kiel/kader/verein/269
2. Bundesliga,Holstein Kiel,269,David Zec,469709,https://www.transfermarkt.com/david-zec/profil/spieler/469709,"David Zec
Centre-Back",26.0,Slovenia,€2.50m,2500000.0,https://www.transfermarkt.com/holstein-kiel/kader/verein/269
2. Bundesliga,Holstein Kiel,269,Marko Ivezic,706024,https://www.transfermarkt.com/marko-ivezic/profil/spieler/706024,"Marko Ivezic
Centre-Back",23.0,Serbia,€2.00m,2000000.0,https://www.transfermarkt.com/holstein-kiel/kader/verein/269
2. Bundesliga,Holstein Kiel,269,Frederik Roslyng,1051739,https://www.transfermarkt.com/frederik-roslyng/profil/spieler/1051739,"Frederik Roslyng
Centre-Back",19.0,Denmark,€1.20m,1200000.0,https://www.transfermarkt.com/holstein-kiel/kader/verein/269
2. Bundesliga,Holstein Kiel,269,Marco Komenda,335631,https://www.transfermarkt.com/marco-komenda/profil/spieler/335631,"Marco Komenda
Centre-Back",28.0,Croatia|Germany,€800k,800000.0,https://www.transfermarkt.com/holstein-kiel/kader/verein/269
2. Bundesliga,Holstein Kiel,269,Ivan Nekic,464333,https://www.transfermarkt.com/ivan-nekic/profil/spieler/464333,"Ivan Nekic
Centre-Back",24.0,Croatia,€800k,800000.0,https://www.transfermarkt.com/holstein-kiel/kader/verein/269
2. Bundesliga,Holstein Kiel,269,Patrick Erras,193859,https://www.transfermarkt.com/patrick-erras/profil/spieler/193859,"Patrick Erras 
Centre-Back",30.0,Germany,€600k,600000.0,https://www.transfermarkt.com/holstein-kiel/kader/verein/269
2. Bundesliga,Holstein Kiel,269,Mladen Cvjetinovic,688639,https://www.transfermarkt.com/mladen-cvjetinovic/profil/spieler/688639,"Mladen Cvjetinovic 
Centre-Back",17.0,Bosnia-Herzegovina|Germany,€600k,600000.0,https://www.transfermarkt.com/holstein-kiel/kader/verein/269
2. Bundesliga,Holstein Kiel,269,Carl Johansson,225043,https://www.transfermarkt.com/carl-johansson/profil/spieler/225043,"Carl Johansson
Centre-Back",31.0,Sweden,€500k,500000.0,https://www.transfermarkt.com/holstein-kiel/kader/verein/269
2. Bundesliga,Holstein Kiel,269,John Tolkin,683812,https://www.transfermarkt.com/john-tolkin/profil/spieler/683812,"John Tolkin
Left-Back",47.0,United States,€2.50m,2500000.0,https://www.transfermarkt.com/holstein-kiel/kader/verein/269
2. Bundesliga,Holstein Kiel,269,Leon Parduzi,1045850,https://www.transfermarkt.com/leon-parduzi/profil/spieler/1045850,"Leon Parduzi
Left-Back",40.0,Germany|Kosovo,,,https://www.transfermarkt.com/holstein-kiel/kader/verein/269
2. Bundesliga,Holstein Kiel,269,Lasse Rosenboom,512352,https://www.transfermarkt.com/lasse-rosenboom/profil/spieler/512352,"Lasse Rosenboom
Right-Back",23.0,Germany,€1.20m,1200000.0,https://www.transfermarkt.com/holstein-kiel/kader/verein/269
2. Bundesliga,Holstein Kiel,269,Niklas Niehoff,806073,https://www.transfermarkt.com/niklas-niehoff/profil/spieler/806073,"Niklas Niehoff
Right-Back",29.0,Germany,€450k,450000.0,https://www.transfermarkt.com/holstein-kiel/kader/verein/269
2. Bundesliga,Holstein Kiel,269,Kasper Davidsen,802513,https://www.transfermarkt.com/kasper-davidsen/profil/spieler/802513,"Kasper Davidsen
Defensive Midfield",15.0,Denmark,€1.60m,1600000.0,https://www.transfermarkt.com/holstein-kiel/kader/verein/269
2. Bundesliga,Holstein Kiel,269,Robert Wagner,690429,https://www.transfermarkt.com/robert-wagner/profil/spieler/690429,"Robert Wagner
Central Midfield",39.0,Germany,€3.00m,3000000.0,https://www.transfermarkt.com/holstein-kiel/kader/verein/269
2. Bundesliga,Holstein Kiel,269,Magnus Knudsen,651735,https://www.transfermarkt.com/magnus-knudsen/profil/spieler/651735,"Magnus Knudsen
Central Midfield",24.0,Norway,€2.50m,2500000.0,https://www.transfermarkt.com/holstein-kiel/kader/verein/269
2. Bundesliga,Holstein Kiel,269,Stefan Schwab,79612,https://www.transfermarkt.com/stefan-schwab/profil/spieler/79612,"Stefan Schwab
Central Midfield",22.0,Austria,€600k,600000.0,https://www.transfermarkt.com/holstein-kiel/kader/verein/269
2. Bundesliga,Holstein Kiel,269,Hamza Muqaj,920013,https://www.transfermarkt.com/hamza-muqaj/profil/spieler/920013,"Hamza Muqaj
Central Midfield",48.0,Germany|Kosovo,€125k,125000.0,https://www.transfermarkt.com/holstein-kiel/kader/verein/269
2. Bundesliga,Holstein Kiel,269,Jonas Therkelsen,1027770,https://www.transfermarkt.com/jonas-therkelsen/profil/spieler/1027770,"Jonas Therkelsen
Attacking Midfield",22.0,Norway,€2.20m,2200000.0,https://www.transfermarkt.com/holstein-kiel/kader/verein/269
2. Bundesliga,Holstein Kiel,269,Andu Kelati,719694,https://www.transfermarkt.com/andu-kelati/profil/spieler/719694,"Andu Kelati 
Left Winger",16.0,Eritrea|Germany,€800k,800000.0,https://www.transfermarkt.com/holstein-kiel/kader/verein/269
2. Bundesliga,Holstein Kiel,269,Louis Köster,630761,https://www.transfermarkt.com/louis-koster/profil/spieler/630761,"Louis Köster
Left Winger",45.0,Germany,€150k,150000.0,https://www.transfermarkt.com/holstein-kiel/kader/verein/269
2. Bundesliga,Holstein Kiel,269,Alexander Bernhardsson,633454,https://www.transfermarkt.com/alexander-bernhardsson/profil/spieler/633454,"Alexander Bernhardsson
Right Winger",27.0,Sweden,€3.00m,3000000.0,https://www.transfermarkt.com/holstein-kiel/kader/verein/269
2. Bundesliga,Holstein Kiel,269,Adrián Kaprálik,546822,https://www.transfermarkt.com/adrian-kapralik/profil/spieler/546822,"Adrián Kaprálik
Right Winger",20.0,Slovakia,€1.50m,1500000.0,https://www.transfermarkt.com/holstein-kiel/kader/verein/269
2. Bundesliga,Holstein Kiel,269,Luca Prasse,1030278,https://www.transfermarkt.com/luca-prasse/profil/spieler/1030278,"Luca Prasse
Right Winger",44.0,Germany,€250k,250000.0,https://www.transfermarkt.com/holstein-kiel/kader/verein/269
2. Bundesliga,Holstein Kiel,269,Phil Harres,606119,https://www.transfermarkt.com/phil-harres/profil/spieler/606119,"Phil Harres
Centre-Forward",19.0,Germany,€3.50m,3500000.0,https://www.transfermarkt.com/holstein-kiel/kader/verein/269
2. Bundesliga,Holstein Kiel,269,Steven Skrzybski,93827,https://www.transfermarkt.com/steven-skrzybski/profil/spieler/93827,"Steven Skrzybski 
Centre-Forward",32.0,Germany,€1.00m,1000000.0,https://www.transfermarkt.com/holstein-kiel/kader/verein/269
