iter	Passed	Remaining
302	5125	20247
303	5139	20220
304	5152	20187
305	5166	20158
306	5178	20123
307	5194	20104
308	5207	20071
309	5222	20046
310	5235	20016
311	5248	19984
312	5262	19955
313	5277	19932
314	5290	19901
315	5304	19873
316	5316	19840
317	5331	19815
318	5343	19783
319	5358	19760
320	5371	19728
321	5385	19700
322	5397	19667
323	5410	19639
324	5424	19610
325	5439	19588
326	5453	19563
327	5468	19539
328	5486	19528
329	5498	19496
330	5512	19469
331	5527	19445
332	5539	19414
333	5556	19397
334	5570	19373
335	5585	19350
336	5599	19323
337	5616	19308
338	5629	19279
339	5644	19256
340	5656	19225
341	5671	19205
342	5685	19179
343	5701	19160
344	5715	19136
345	5731	19116
346	5745	19091
347	5760	19069
348	5775	19046
349	5787	19017
350	5799	18983
351	5814	18964
352	5826	18932
353	5842	18913
354	5855	18885
355	5870	18865
356	5884	18840
357	5907	18845
358	5923	18826
359	5939	18807
360	5951	18778
361	5966	18755
362	5978	18725
363	5996	18713
364	6010	18689
365	6025	18667
366	6039	18643
367	6051	18615
368	6066	18595
369	6080	18571
370	6092	18540
371	6106	18517
372	6120	18491
373	6135	18472
374	6148	18445
375	6163	18425
376	6174	18393
377	6188	18369
378	6202	18344
379	6217	18324
380	6230	18297
381	6244	18274
382	6255	18244
383	6270	18223
384	6284	18200
385	6298	18177
386	6310	18150
387	6327	18135
388	6342	18113
389	6357	18093
390	6370	18067
391	6385	18048
392	6398	18024
393	6412	18001
394	6425	17974
395	6440	17955
396	6455	17934
397	6469	17912
398	6483	17890
399	6499	17872
400	6514	17854
401	6537	17856
402	6560	17859
403	6575	17839
404	6589	17817
405	6604	17795
406	6617	17771
407	6630	17746
408	6644	17724
409	6657	17699
410	6671	17677
411	6687	17658
412	6699	17632
413	6714	17612
414	6726	17586
415	6743	17570
416	6755	17544
417	6771	17527
418	6783	17501
419	6796	17476
420	6809	17451
421	6822	17429
422	6837	17408
423	6849	17382
424	6862	17358
425	6877	17338
426	6891	17316
427	6907	17301
428	6919	17273
429	6936	17260
430	6948	17233
431	6963	17215
432	6975	17189
433	6989	17166
434	7002	17143
435	7015	17120
436	7032	17105
437	7046	17085
438	7060	17063
439	7074	17042
440	7087	17020
441	7102	17000
442	7113	16973
443	7127	16951
444	7140	16929
445	7155	16909
446	7169	16890
447	7183	16867
448	7197	16846
449	7210	16825
450	7226	16808
451	7240	16787
452	7254	16766
453	7267	16744
454	7279	16719
455	7296	16705
456	7308	16680
457	7324	16663
458	7335	16637
459	7350	16619
460	7363	16595
461	7379	16579
462	7393	16558
463	7406	16537
464	7424	16524
465	7437	16503
466	7450	16479
467	7464	16460
468	7476	16435
469	7490	16414
470	7502	16391
471	7519	16376
472	7530	16349
473	7545	16332
474	7557	16308
475	7570	16285
476	7585	16268
477	7599	16247
478	7614	16229
479	7627	16209
480	7641	16188
481	7655	16167
482	7672	16154
483	7685	16133
484	7698	16110
485	7714	16095
486	7726	16071
487	7739	16050
488	7753	16029
489	7767	16010
490	7780	15988
491	7794	15969
492	7811	15954
493	7824	15933
494	7838	15915
495	7852	15895
496	7865	15873
497	7880	15855
498	7891	15830
499	7908	15817
500	7921	15795
501	7939	15783
502	7950	15758
503	7965	15741
504	7980	15722
505	7994	15704
506	8006	15681
507	8021	15664
508	8034	15642
509	8049	15625
510	8061	15602
511	8076	15585
512	8090	15565
513	8101	15541
514	8115	15521
515	8128	15500
516	8143	15483
517	8163	15475
518	8192	15484
519	8205	15464
520	8228	15461
521	8251	15459
522	8267	15445
523	8290	15441
524	8304	15422
525	8324	15414
526	8346	15409
527	8359	15389
528	8375	15374
529	8393	15361
530	8408	15344
531	8423	15327
532	8438	15309
533	8451	15288
534	8465	15268
535	8479	15251
536	8491	15228
537	8504	15207
538	8516	15183
539	8532	15169
540	8544	15146
541	8560	15131
542	8574	15111
543	8587	15091
544	8600	15071
545	8615	15053
546	8628	15032
547	8644	15017
548	8657	14997
549	8674	14982
550	8686	14960
551	8705	14951
552	8718	14930
553	8731	14910
554	8744	14889
555	8760	14874
556	8772	14852
557	8788	14836
558	8802	14817
559	8817	14801
560	8830	14779
561	8842	14758
562	8856	14740
563	8872	14724
564	8886	14705
565	8901	14689
566	8914	14669
567	8929	14652
568	8942	14630
569	8956	14613
570	8968	14590
571	8984	14576
572	8996	14555
573	9012	14538
574	9024	14516
575	9036	14496
576	9049	14476
577	9062	14456
578	9075	14436
579	9089	14418
580	9102	14397
581	9118	14382
582	9131	14363
583	9150	14352
584	9162	14331
585	9178	14315
586	9190	14294
587	9205	14277
588	9216	14255
589	9230	14236
590	9245	14219
591	9258	14201
592	9272	14182
593	9286	14164
594	9298	14143
595	9313	14126
596	9325	14104
597	9341	14089
598	9353	14069
599	9368	14053
600	9382	14034
601	9402	14026
602	9421	14015
603	9440	14005
604	9452	13983
605	9469	13969
606	9482	13950
607	9497	13933
608	9508	13911
609	9522	13894
610	9535	13874
611	9549	13856
612	9563	13837
613	9576	13818
614	9590	13800
615	9605	13784
616	9618	13765
617	9635	13752
618	9649	13733
619	9664	13717
620	9676	13696
621	9694	13684
622	9706	13664
623	9722	13648
624	9734	13628
625	9749	13611
626	9763	13594
627	9777	13576
628	9789	13556
629	9803	13538
630	9816	13519
631	9831	13502
632	9845	13484
633	9861	13469
634	9875	13452
635	9890	13436
636	9903	13417
637	9917	13399
638	9930	13380
639	9947	13366
640	9959	13346
641	9974	13330
642	9988	13312
643	10000	13292
644	10013	13273
645	10026	13255
646	10040	13237
647	10053	13219
648	10067	13201
649	10082	13185
650	10094	13165
651	10115	13156
652	10126	13135
653	10140	13116
654	10153	13098
655	10167	13081
656	10182	13065
657	10195	13045
658	10207	13026
659	10219	13006
660	10231	12987
661	10244	12968
662	10255	12946
663	10270	12930
664	10284	12913
665	10299	12897
666	10315	12882
667	10332	12868
668	10346	12851
669	10361	12835
670	10375	12818
671	10388	12800
672	10400	12781
673	10415	12764
674	10429	12746
675	10444	12730
676	10457	12712
677	10474	12698
678	10485	12678
679	10501	12664
680	10513	12644
681	10526	12625
682	10540	12608
683	10555	12592
684	10570	12576
685	10581	12556
686	10603	12547
687	10617	12531
688	10630	12512
689	10643	12495
690	10656	12476
691	10670	12459
692	10683	12440
693	10697	12424
694	10711	12406
695	10725	12389
696	10740	12374
697	10764	12368
698	10777	12350
699	10792	12333
700	10804	12315
701	10820	12300
702	10833	12282
703	10851	12269
704	10862	12249
705	10874	12229
706	10887	12211
707	10900	12193
708	10912	12174
709	10927	12159
710	10939	12139
711	10954	12123
712	10966	12104
713	10982	12090
714	10994	12070
715	11008	12054
716	11021	12036
717	11034	12018
718	11050	12003
719	11064	11986
720	11076	11967
721	11093	11953
722	11107	11936
723	11121	11919
724	11133	11901
725	11149	11886
726	11160	11866
727	11176	11852
728	11189	11834
729	11203	11817
730	11217	11800
731	11232	11784
732	11247	11769
733	11261	11752
734	11276	11736
735	11290	11720
736	11306	11705
737	11319	11688
738	11332	11670
739	11349	11655
740	11360	11636
741	11376	11621
742	11388	11603
743	11410	11594
744	11424	11577
745	11438	11560
746	11450	11542
747	11464	11525
748	11477	11508
749	11492	11492
750	11506	11475
751	11521	11459
752	11533	11441
753	11548	11425
754	11562	11409
755	11577	11394
756	11592	11377
757	11606	11361
758	11618	11342
759	11634	11327
760	11646	11310
761	11663	11295
762	11676	11278
763	11692	11263
764	11705	11246
765	11719	11229
766	11734	11214
767	11750	11199
768	11763	11182
769	11776	11164
770	11790	11148
771	11805	11132
772	11819	11116
773	11832	11098
774	11845	11081
775	11861	11066
776	11873	11047
777	11887	11032
778	11899	11013
779	11913	10997
780	11927	10980
781	11941	10964
782	11954	10946
783	11967	10929
784	11980	10912
785	11994	10895
786	12007	10878
787	12022	10863
788	12034	10844
789	12053	10832
790	12066	10815
791	12083	10801
792	12095	10783
793	12110	10768
794	12122	10750
795	12137	10735
796	12152	10718
797	12168	10704
798	12181	10687
799	12196	10671
800	12209	10654
801	12224	10639
802	12248	10632
803	12266	10618
804	12281	10602
805	12296	10587
806	12312	10572
807	12325	10555
808	12339	10539
809	12353	10522
810	12364	10504
811	12380	10490
812	12392	10472
813	12408	10456
814	12421	10439
815	12435	10423
816	12448	10406
817	12462	10390
818	12476	10373
819	12489	10357
820	12504	10341
821	12518	10325
822	12533	10309
823	12548	10294
824	12563	10279
825	12579	10264
826	12591	10246
827	12605	10230
828	12618	10213
829	12634	10198
830	12645	10180
831	12659	10164
832	12671	10146
833	12686	10130
834	12700	10114
835	12714	10098
836	12729	10083
837	12743	10067
838	12755	10049
839	12769	10033
840	12782	10016
841	12799	10002
842	12811	9984
843	12829	9971
844	12841	9953
845	12856	9938
846	12869	9921
847	12881	9904
848	12895	9888
849	12907	9870
850	12923	9855
851	12936	9839
852	12948	9821
853	12962	9805
854	12974	9787
855	12989	9772
856	13003	9756
857	13020	9742
858	13033	9725
859	13051	9712
860	13064	9695
861	13078	9679
862	13092	9663
863	13110	9650
864	13124	9634
865	13144	9622
866	13160	9608
867	13175	9593
868	13187	9575
869	13200	9558
870	13213	9542
871	13229	9527
872	13242	9510
873	13258	9496
874	13274	9481
875	13289	9466
876	13303	9450
877	13316	9433
878	13330	9417
879	13345	9402
880	13357	9385
881	13376	9372
882	13388	9355
883	13403	9339
884	13416	9323
885	13428	9306
886	13442	9290
887	13456	9274
888	13471	9258
889	13484	9241
890	13498	9226
891	13511	9209
892	13524	9192
893	13541	9179
894	13554	9162
895	13569	9147
896	13582	9131
897	13597	9115
898	13611	9099
899	13629	9086
900	13642	9070
901	13657	9054
902	13672	9039
903	13686	9023
904	13701	9007
905	13715	8992
906	13728	8975
907	13743	8960
908	13757	8944
909	13772	8929
910	13788	8914
911	13805	8900
912	13818	8884
913	13833	8869
914	13847	8853
915	13860	8836
916	13872	8819
917	13887	8804
918	13902	8788
919	13915	8772
920	13929	8756
921	13942	8740
922	13954	8723
923	13965	8706
924	13979	8689
925	13992	8673
926	14005	8656
927	14021	8642
928	14039	8628
929	14052	8612
930	14064	8595
931	14078	8580
932	14091	8563
933	14104	8547
934	14116	8530
935	14129	8513
936	14141	8496
937	14155	8481
938	14171	8466
939	14188	8452
940	14203	8437
941	14218	8422
942	14232	8406
943	14246	8391
944	14259	8374
945	14277	8360
946	14289	8344
947	14303	8328
948	14316	8312
949	14330	8296
950	14343	8280
951	14357	8264
952	14369	8247
953	14383	8232
954	14396	8215
955	14410	8200
956	14427	8186
957	14441	8170
958	14454	8154
959	14468	8138
960	14481	8122
961	14495	8106
962	14508	8090
963	14525	8076
964	14537	8059
965	14555	8046
966	14574	8033
967	14595	8021
968	14618	8010
969	14633	7995
970	14645	7978
971	14661	7964
972	14676	7948
973	14692	7934
974	14706	7919
975	14723	7904
976	14736	7888
977	14753	7874
978	14775	7863
979	14809	7858
980	14836	7849
981	14880	7849
982	14910	7841
983	14941	7835
984	14972	7828
985	14998	7818
986	15026	7810
987	15053	7800
988	15078	7790
989	15094	7775
990	15114	7763
991	15130	7748
992	15150	7735
993	15170	7722
994	15187	7708
995	15213	7698
996	15233	7685
997	15254	7673
998	15277	7661
999	15295	7647
1000	15311	7632
1001	15333	7621
1002	15356	7609
1003	15401	7608
1004	15428	7599
1005	15449	7586
1006	15467	7572
1007	15493	7562
1008	15523	7553
1009	15549	7544
1010	15575	7533
1011	15616	7530
1012	15639	7518
1013	15665	7508
1014	15689	7497
1015	15713	7485
1016	15739	7474
1017	15756	7460
1018	15769	7443
1019	15788	7429
1020	15803	7414
1021	15819	7398
1022	15838	7385
1023	15859	7372
1024	15875	7356
1025	15893	7342
1026	15908	7326
1027	15926	7312
1028	15942	7297
1029	15964	7284
1030	15982	7270
1031	15998	7255
1032	16020	7242
1033	16038	7228
1034	16055	7213
1035	16074	7199
1036	16093	7185
1037	16119	7174
1038	16136	7159
1039	16153	7144
1040	16169	7129
1041	16187	7115
1042	16204	7100
1043	16221	7085
1044	16239	7070
1045	16257	7056
1046	16278	7043
1047	16296	7028
1048	16313	7013
1049	16330	6998
1050	16345	6983
1051	16362	6968
1052	16378	6952
1053	16396	6938
1054	16413	6923
1055	16449	6916
1056	16475	6905
1057	16504	6894
1058	16524	6881
1059	16555	6871
1060	16581	6860
1061	16606	6849
1062	16636	6839
1063	16666	6829
1064	16682	6813
1065	16700	6799
1066	16718	6784
1067	16742	6772
1068	16765	6759
1069	16787	6746
1070	16808	6732
1071	16829	6719
1072	16846	6703
1073	16860	6687
1074	16877	6672
1075	16891	6656
1076	16908	6641
1077	16923	6624
1078	16938	6608
1079	16953	6593
1080	16970	6577
1081	16984	6561
1082	16999	6545
1083	17013	6529
1084	17026	6512
1085	17044	6497
1086	17059	6481
1087	17078	6467
1088	17097	6452
1089	17121	6440
1090	17148	6428
1091	17173	6416
1092	17185	6399
1093	17202	6384
1094	17216	6367
1095	17234	6353
1096	17247	6336
1097	17266	6321
1098	17278	6304
1099	17295	6289
1100	17308	6272
1101	17325	6257
1102	17337	6240
1103	17351	6223
1104	17366	6207
1105	17380	6191
1106	17397	6176
1107	17409	6159
1108	17425	6143
1109	17439	6127
1110	17452	6110
1111	17466	6094
1112	17479	6077
1113	17495	6062
1114	17507	6045
1115	17525	6030
1116	17537	6013
1117	17554	5998
1118	17567	5981
1119	17585	5966
1120	17605	5952
1121	17627	5938
1122	17643	5923
1123	17660	5907
1124	17672	5890
1125	17688	5875
1126	17699	5858
1127	17717	5842
1128	17729	5826
1129	17744	5810
1130	17758	5793
1131	17774	5778
1132	17786	5761
1133	17802	5745
1134	17819	5730
1135	17833	5714
1136	17848	5698
1137	17862	5682
1138	17877	5666
1139	17892	5650
1140	17907	5634
1141	17920	5617
1142	17933	5601
1143	17949	5585
1144	17961	5568
1145	17979	5553
1146	17990	5536
1147	18008	5521
1148	18021	5505
1149	18040	5490
1150	18054	5474
1151	18071	5459
1152	18084	5442
1153	18100	5426
1154	18115	5411
1155	18133	5396
1156	18150	5380
1157	18168	5365
1158	18182	5349
1159	18196	5333
1160	18210	5317
1161	18227	5302
1162	18241	5285
1163	18256	5270
1164	18272	5254
1165	18288	5238
1166	18302	5222
1167	18319	5207
1168	18334	5191
1169	18350	5175
1170	18364	5159
1171	18379	5143
1172	18398	5129
1173	18418	5114
1174	18438	5099
1175	18457	5085
1176	18476	5070
1177	18496	5055
1178	18513	5040
1179	18532	5025
1180	18544	5009
1181	18561	4993
1182	18573	4976
1183	18590	4961
1184	18604	4945
1185	18624	4931
1186	18645	4916
1187	18668	4902
1188	18683	4886
1189	18697	4870
1190	18714	4855
1191	18729	4839
1192	18741	4822
1193	18756	4806
1194	18768	4790
1195	18784	4774
1196	18797	4758
1197	18815	4743
1198	18827	4726
1199	18841	4710
1200	18856	4694
1201	18869	4678
1202	18891	4663
1203	18904	4647
1204	18924	4632
1205	18941	4617
1206	18959	4602
1207	18977	4587
1208	18994	4571
1209	19010	4556
1210	19022	4539
1211	19035	4523
1212	19050	4507
1213	19064	4491
1214	19080	4475
1215	19094	4459
1216	19108	4443
1217	19124	4427
1218	19138	4411
1219	19154	4396
1220	19168	4379
1221	19182	4363
1222	19195	4347
1223	19218	4333
1224	19233	4317
1225	19247	4301
1226	19262	4285
1227	19277	4270
1228	19291	4253
1229	19308	4238
1230	19320	4222
1231	19338	4206
1232	19350	4190
1233	19372	4175
1234	19387	4160
1235	19408	4145
1236	19421	4129
1237	19442	4114
1238	19460	4099
1239	19478	4084
1240	19495	4068
1241	19515	4053
1242	19529	4037
1243	19549	4023
1244	19567	4007
1245	19583	3992
1246	19600	3976
1247	19618	3961
1248	19636	3946
1249	19650	3930
1250	19667	3914
1251	19683	3898
1252	19704	3884
1253	19733	3871
1254	19746	3854
1255	19773	3841
1256	19806	3828
1257	19832	3815
1258	19856	3800
1259	19885	3787
1260	19910	3773
1261	19943	3761
1262	19962	3745
1263	19987	3731
1264	20003	3716
1265	20021	3700
1266	20037	3684
1267	20056	3669
1268	20071	3653
1269	20090	3638
1270	20108	3623
1271	20124	3607
1272	20140	3591
1273	20155	3575
1274	20168	3559
1275	20183	3543
1276	20195	3526
1277	20213	3511
1278	20225	3494
1279	20242	3479
1280	20255	3462
1281	20273	3447
1282	20284	3430
1283	20300	3414
1284	20313	3398
1285	20328	3382
1286	20344	3367
1287	20358	3351
1288	20373	3335
1289	20387	3318
1290	20401	3302
1291	20416	3286
1292	20429	3270
1293	20450	3255
1294	20469	3240
1295	20485	3224
1296	20501	3208
1297	20515	3192
1298	20531	3176
1299	20545	3160
1300	20562	3145
1301	20577	3129
1302	20589	3112
1303	20606	3097
1304	20619	3081
1305	20636	3065
1306	20649	3049
1307	20666	3033
1308	20678	3017
1309	20696	3001
1310	20708	2985
1311	20726	2969
1312	20738	2953
1313	20755	2937
1314	20768	2921
1315	20782	2905
1316	20797	2889
1317	20811	2873
1318	20827	2858
1319	20840	2841
1320	20856	2826
1321	20870	2810
1322	20883	2793
1323	20899	2778
1324	20911	2761
1325	20928	2746
1326	20939	2729
1327	20956	2714
1328	20969	2698
1329	20986	2682
1330	21000	2666
1331	21016	2650
1332	21028	2634
1333	21043	2618
1334	21058	2602
1335	21070	2586
1336	21090	2571
1337	21109	2555
1338	21127	2540
1339	21141	2524
1340	21157	2508
1341	21174	2492
1342	21190	2477
1343	21207	2461
1344	21222	2445
1345	21235	2429
1346	21251	2413
1347	21264	2397
1348	21276	2381
1349	21293	2365
1350	21306	2349
1351	21323	2334
1352	21335	2318
1353	21352	2302
1354	21365	2286
1355	21382	2270
1356	21394	2254
1357	21411	2238
1358	21424	2222
1359	21442	2207
1360	21456	2191
1361	21470	2175
1362	21486	2159
1363	21503	2144
1364	21517	2128
1365	21531	2112
1366	21548	2096
1367	21562	2080
1368	21581	2065
1369	21603	2049
1370	21621	2034
1371	21639	2018
1372	21653	2002
1373	21674	1987
1374	21702	1972
1375	21727	1958
1376	21746	1942
1377	21775	1927
1378	21794	1912
1379	21820	1897
1380	21838	1881
1381	21852	1865
1382	21869	1850
1383	21883	1834
1384	21902	1818
1385	21919	1802
1386	21934	1787
1387	21949	1771
1388	21965	1755
1389	21980	1739
1390	21996	1723
1391	22008	1707
1392	22021	1691
1393	22037	1675
1394	22048	1659
1395	22067	1643
1396	22079	1627
1397	22094	1612
1398	22107	1596
1399	22121	1580
1400	22135	1564
1401	22156	1548
1402	22173	1532
1403	22189	1517
1404	22207	1501
1405	22229	1486
1406	22242	1470
1407	22267	1454
1408	22287	1439
1409	22301	1423
1410	22316	1407
1411	22331	1391
1412	22345	1375
1413	22362	1360
1414	22374	1344
1415	22392	1328
1416	22405	1312
1417	22422	1296
1418	22435	1280
1419	22454	1265
1420	22466	1248
1421	22481	1233
1422	22493	1217
1423	22509	1201
1424	22522	1185
1425	22538	1169
1426	22551	1153
1427	22568	1137
1428	22581	1121
1429	22597	1106
1430	22609	1090
1431	22626	1074
1432	22643	1058
1433	22663	1043
1434	22679	1027
1435	22704	1011
1436	22721	996
1437	22739	980
1438	22757	964
1439	22774	948
1440	22792	933
1441	22811	917
1442	22828	901
1443	22849	886
1444	22867	870
1445	22887	854
1446	22903	838
1447	22929	823
1448	22950	807
1449	22966	791
1450	22984	776
1451	23001	760
1452	23020	744
1453	23039	728
1454	23057	713
1455	23074	697
1456	23090	681
1457	23107	665
1458	23126	649
1459	23143	634
1460	23160	618
1461	23183	602
1462	23198	586
1463	23216	570
1464	23232	555
1465	23250	539
1466	23266	523
1467	23284	507
1468	23300	491
1469	23322	475
1470	23342	460
1471	23359	444
1472	23379	428
1473	23399	412
1474	23415	396
1475	23433	381
1476	23448	365
1477	23463	349
1478	23476	333
1479	23492	317
1480	23507	301
1481	23523	285
1482	23539	269
1483	23555	253
1484	23571	238
1485	23584	222
1486	23600	206
1487	23615	190
1488	23630	174
1489	23646	158
1490	23663	142
1491	23676	126
1492	23692	111
1493	23705	95
1494	23719	79
1495	23735	63
1496	23747	47
1497	23765	31
1498	23778	15
1499	23793	0
