league_name,club,club_id,club_url,average_market_value,total_market_value,average_market_value_eur,total_market_value_eur,source_url
A-League Men,Auckland FC,118373,https://www.transfermarkt.com/auckland-fc/startseite/verein/118373/saison_id/2025,€367k,€8.80m,367000.0,8800000.0,https://www.transfermarkt.com/a-league/startseite/wettbewerb/AUS1
A-League Men,Perth Glory,970,https://www.transfermarkt.com/perth-glory/startseite/verein/970/saison_id/2025,€258k,€8.78m,258000.0,8780000.0,https://www.transfermarkt.com/a-league/startseite/wettbewerb/AUS1
A-League Men,Melbourne Victory,7006,https://www.transfermarkt.com/melbourne-victory/startseite/verein/7006/saison_id/2025,€259k,€7.78m,259000.0,7780000.0,https://www.transfermarkt.com/a-league/startseite/wettbewerb/AUS1
A-League Men,Western Sydney Wanderers,36100,https://www.transfermarkt.com/western-sydney-wanderers/startseite/verein/36100/saison_id/2025,€296k,€7.70m,296000.0,7700000.0,https://www.transfermarkt.com/a-league/startseite/wettbewerb/AUS1
A-League Men,Melbourne City FC,25580,https://www.transfermarkt.com/melbourne-city-fc/startseite/verein/25580/saison_id/2025,€217k,€7.18m,217000.0,7180000.0,https://www.transfermarkt.com/a-league/startseite/wettbewerb/AUS1
A-League Men,Adelaide United,875,https://www.transfermarkt.com/adelaide-united/startseite/verein/875/saison_id/2025,€220k,€7.05m,220000.0,7050000.0,https://www.transfermarkt.com/a-league/startseite/wettbewerb/AUS1
A-League Men,Wellington Phoenix,8445,https://www.transfermarkt.com/wellington-phoenix/startseite/verein/8445/saison_id/2025,€246k,€5.90m,246000.0,5900000.0,https://www.transfermarkt.com/a-league/startseite/wettbewerb/AUS1
A-League Men,Macarthur FC,71085,https://www.transfermarkt.com/macarthur-fc/startseite/verein/71085/saison_id/2025,€217k,€5.85m,217000.0,5850000.0,https://www.transfermarkt.com/a-league/startseite/wettbewerb/AUS1
A-League Men,Brisbane Roar,7831,https://www.transfermarkt.com/brisbane-roar/startseite/verein/7831/saison_id/2025,€190k,€5.70m,190000.0,5700000.0,https://www.transfermarkt.com/a-league/startseite/wettbewerb/AUS1
A-League Men,Central Coast Mariners,6954,https://www.transfermarkt.com/central-coast-mariners/startseite/verein/6954/saison_id/2025,€206k,€5.58m,206000.0,5580000.0,https://www.transfermarkt.com/a-league/startseite/wettbewerb/AUS1
Allsvenskan,Malmö FF,496,https://www.transfermarkt.com/malmo-ff/startseite/verein/496/saison_id/2024,€1.26m,€36.50m,1260000.0,36500000.0,https://www.transfermarkt.com/allsvenskan/startseite/wettbewerb/SE1
Allsvenskan,Djurgårdens IF,1044,https://www.transfermarkt.com/djurgardens-if/startseite/verein/1044/saison_id/2024,€837k,€21.75m,837000.0,21750000.0,https://www.transfermarkt.com/allsvenskan/startseite/wettbewerb/SE1
Allsvenskan,AIK,272,https://www.transfermarkt.com/aik-solna/startseite/verein/272/saison_id/2024,€693k,€20.10m,693000.0,20100000.0,https://www.transfermarkt.com/allsvenskan/startseite/wettbewerb/SE1
Allsvenskan,BK Häcken,1109,https://www.transfermarkt.com/bk-hacken/startseite/verein/1109/saison_id/2024,€608k,€19.45m,608000.0,19450000.0,https://www.transfermarkt.com/allsvenskan/startseite/wettbewerb/SE1
Allsvenskan,IF Elfsborg,1101,https://www.transfermarkt.com/if-elfsborg-boras/startseite/verein/1101/saison_id/2024,€796k,€19.10m,796000.0,19100000.0,https://www.transfermarkt.com/allsvenskan/startseite/wettbewerb/SE1
Allsvenskan,IK Sirius,7945,https://www.transfermarkt.com/ik-sirius/startseite/verein/7945/saison_id/2024,€673k,€17.50m,673000.0,17500000.0,https://www.transfermarkt.com/allsvenskan/startseite/wettbewerb/SE1
Allsvenskan,IFK Göteborg,801,https://www.transfermarkt.com/ifk-goteborg/startseite/verein/801/saison_id/2024,€789k,€17.35m,789000.0,17350000.0,https://www.transfermarkt.com/allsvenskan/startseite/wettbewerb/SE1
Allsvenskan,Mjällby AIF,2719,https://www.transfermarkt.com/mjallby-aif/startseite/verein/2719/saison_id/2024,€624k,€16.85m,624000.0,16850000.0,https://www.transfermarkt.com/allsvenskan/startseite/wettbewerb/SE1
