club,league_name,country_name,average_rating,coach_name,stadium_name
Atlético Mineiro,Serie A,Brazil,75,jorge luis sampaoli moya,O Dromo
Borussia Mönchengladbach,Bundesliga,Germany,75,eugen polanski,BORUSSIA-PARK
SC Freiburg,Bundesliga,Germany,75,julian schuster,Europa-Park Stadion
SV Werder Bremen,Bundesliga,Germany,75,horst steffen,Wohninvest Weserstadion
1. FC Union Berlin,Bundesliga,Germany,75,steffen baumgart,Stadion An der Alten Försterei
TSG 1899 Hoffenheim,Bundesliga,Germany,75,christian ilzer,PreZero Arena
FC Augsburg,Bundesliga,Germany,75,sandro wagner,WWK Arena
Getafe CF,La Liga,Spain,75,jose bordalas jimenez,Coliseum Alfonso Pérez
Celtic,Scottish Premiership,Scotland,75,brendan rodgers,Celtic Park
Boca Juniors,Primera División,Argentina,75,mariano andres herron,La Bombonera
Palmeiras,Serie A,Brazil,75,abel fernando moreira ferreira,Estadio de las Artes
1. FSV Mainz 05,Bundesliga,Germany,75,bo henriksen,Opel Arena
Sevilla FC,La Liga,Spain,75,matias jesus almeyda,Ramón Sánchez-Pizjuán
Ajax,Eredivisie,Netherlands,75,johnny heitinga,Johan Cruijff ArenA
Feyenoord,Eredivisie,Netherlands,75,robin van persie,De Kuip
Al Ahli SFC,Saudi Pro League,Saudi Arabia,74,matthias jaissle,King Abdullah Sports City
Al Qadsiah FC,Saudi Pro League,Saudi Arabia,74,jose miguel gonzalez martin del campo,Stade Kokoto
AEK Athens,Greek Super League,Greece,74,marko nikolic,Waldstadion
Internacional,Serie A,Brazil,74,ramon angel diaz,O Dromo
1. FC Köln,Bundesliga,Germany,74,lukas kwasniok,RheinEnergieStadion
RC Lens,Ligue 1 Uber Eats,France,74,pierre sage,Stade Bollaert-Delelis
RC Strasbourg Alsace,Ligue 1 Uber Eats,France,74,liam rosenior,Stade Municipal
Panathinaikos FC,Greek Super League,Greece,74,christos kontis,Stadion Hanguk
Sassuolo,Serie A,Italy,74,fabio grosso,Forest Park Stadium (Square Ground)
Sporting Clube de Braga,Primeira Liga,Portugal,74,carlos vicens,Forest Park Stadium (Square Ground)
Stade Brestois 29,Ligue 1 Uber Eats,France,74,eric roy,Crown Lane
PAOK,Greek Super League,Greece,74,razvan lucescu,Stadio Classico
Trabzonspor,Turkish Süper Lig,Türkiye,74,fatih tekke,Sanderson Park
RCD Espanyol,La Liga,Spain,74,jose manuel gonzalez alvarez,Stage Front Stadium
Paris FC,Ligue 1 Uber Eats,France,74,stephane gilli,Euro Arena
Racing Club,Primera División,Argentina,74,gustavo adolfo costas makeira,Estadio Presidente Perón (El Cilindro)
Sparta Praha,Czech First League,Czechia,73,brian priske pedersen,Waldstadion
Corinthians,Serie A,Brazil,73,dorival silvestre junior,Stadio Classico
Hamburger SV,Bundesliga,Germany,73,merlin polzin,Volksparkstadion
Parma,Serie A,Italy,73,carlos anton cuesta,Arena d'Oro
Cagliari,Serie A,Italy,73,fabio pisacane,Stadio Classico
Udinese,Serie A,Italy,73,kosta runjaic,Udinese Arena
Levante UD,La Liga,Spain,73,julian calero fernandez,Estadio Ciutat de València
Cremonese,Serie A,Italy,73,davide nicola,Stadio Classico
Rangers FC,Scottish Premiership,Scotland,73,russell martin,Ibrox Stadium
