league_name,club,average_market_value,total_market_value,average_market_value_eur,total_market_value_eur,source_url
A-League Men,Melbourne City FC,€217k,€7.18m,217000.0,7180000.0,https://www.transfermarkt.com/a-league/startseite/wettbewerb/AUS1
A-League Men,Adelaide United,€220k,€7.05m,220000.0,7050000.0,https://www.transfermarkt.com/a-league/startseite/wettbewerb/AUS1
A-League Men,Wellington Phoenix,€246k,€5.90m,246000.0,5900000.0,https://www.transfermarkt.com/a-league/startseite/wettbewerb/AUS1
A-League Men,Macarthur FC,€217k,€5.85m,217000.0,5850000.0,https://www.transfermarkt.com/a-league/startseite/wettbewerb/AUS1
A-League Men,Brisbane Roar,€190k,€5.70m,190000.0,5700000.0,https://www.transfermarkt.com/a-league/startseite/wettbewerb/AUS1
A-League Men,Central Coast Mariners,€206k,€5.58m,206000.0,5580000.0,https://www.transfermarkt.com/a-league/startseite/wettbewerb/AUS1
A-League Men,Newcastle United Jets,€199k,€5.38m,199000.0,5380000.0,https://www.transfermarkt.com/a-league/startseite/wettbewerb/AUS1
Allsvenskan,Malmö FF,€1.26m,€36.50m,1260000.0,36500000.0,https://www.transfermarkt.com/allsvenskan/startseite/wettbewerb/SE1
Allsvenskan,Hammarby IF,€1.04m,€25.93m,1040000.0,25930000.0,https://www.transfermarkt.com/allsvenskan/startseite/wettbewerb/SE1
Allsvenskan,Djurgårdens IF,€837k,€21.75m,837000.0,21750000.0,https://www.transfermarkt.com/allsvenskan/startseite/wettbewerb/SE1
Allsvenskan,AIK,€693k,€20.10m,693000.0,20100000.0,https://www.transfermarkt.com/allsvenskan/startseite/wettbewerb/SE1
Allsvenskan,BK Häcken,€608k,€19.45m,608000.0,19450000.0,https://www.transfermarkt.com/allsvenskan/startseite/wettbewerb/SE1
Allsvenskan,IF Elfsborg,€796k,€19.10m,796000.0,19100000.0,https://www.transfermarkt.com/allsvenskan/startseite/wettbewerb/SE1
Allsvenskan,IK Sirius,€673k,€17.50m,673000.0,17500000.0,https://www.transfermarkt.com/allsvenskan/startseite/wettbewerb/SE1
Allsvenskan,IFK Göteborg,€789k,€17.35m,789000.0,17350000.0,https://www.transfermarkt.com/allsvenskan/startseite/wettbewerb/SE1
Allsvenskan,Mjällby AIF,€648k,€16.85m,648000.0,16850000.0,https://www.transfermarkt.com/allsvenskan/startseite/wettbewerb/SE1
Allsvenskan,IF Brommapojkarna,€411k,€13.58m,411000.0,13580000.0,https://www.transfermarkt.com/allsvenskan/startseite/wettbewerb/SE1
Allsvenskan,GAIS,€395k,€10.28m,395000.0,10280000.0,https://www.transfermarkt.com/allsvenskan/startseite/wettbewerb/SE1
Allsvenskan,IFK Norrköping,€423k,€9.73m,423000.0,9730000.0,https://www.transfermarkt.com/allsvenskan/startseite/wettbewerb/SE1
Allsvenskan,IFK Värnamo,€334k,€8.03m,334000.0,8029999.999999999,https://www.transfermarkt.com/allsvenskan/startseite/wettbewerb/SE1
Allsvenskan,Degerfors IF,€317k,€7.93m,317000.0,7930000.0,https://www.transfermarkt.com/allsvenskan/startseite/wettbewerb/SE1
Allsvenskan,Halmstads BK,€295k,€7.68m,295000.0,7680000.0,https://www.transfermarkt.com/allsvenskan/startseite/wettbewerb/SE1
Allsvenskan,Östers IF,€297k,€7.43m,297000.0,7430000.0,https://www.transfermarkt.com/allsvenskan/startseite/wettbewerb/SE1
Belgian Pro League,Club Brugge KV,€6.70m,€194.40m,6700000.0,194400000.0,https://www.transfermarkt.com/jupiler-pro-league/startseite/wettbewerb/BE1
Belgian Pro League,KRC Genk,€5.37m,€144.90m,5370000.0,144900000.0,https://www.transfermarkt.com/jupiler-pro-league/startseite/wettbewerb/BE1
Belgian Pro League,RSC Anderlecht,€2.95m,€97.40m,2950000.0,97400000.0,https://www.transfermarkt.com/jupiler-pro-league/startseite/wettbewerb/BE1
Belgian Pro League,Union Saint-Gilloise,€3.36m,€90.60m,3360000.0,90600000.0,https://www.transfermarkt.com/jupiler-pro-league/startseite/wettbewerb/BE1
Belgian Pro League,KAA Gent,€2.17m,€60.85m,2170000.0,60850000.0,https://www.transfermarkt.com/jupiler-pro-league/startseite/wettbewerb/BE1
Belgian Pro League,Royal Antwerp FC,€1.68m,€50.40m,1680000.0,50400000.0,https://www.transfermarkt.com/jupiler-pro-league/startseite/wettbewerb/BE1
Belgian Pro League,KVC Westerlo,€1.56m,€45.10m,1560000.0,45100000.0,https://www.transfermarkt.com/jupiler-pro-league/startseite/wettbewerb/BE1
Belgian Pro League,Standard Liège,€1.43m,€41.50m,1430000.0,41500000.0,https://www.transfermarkt.com/jupiler-pro-league/startseite/wettbewerb/BE1
Belgian Pro League,Cercle Brugge,€1.48m,€39.90m,1480000.0,39900000.0,https://www.transfermarkt.com/jupiler-pro-league/startseite/wettbewerb/BE1
Belgian Pro League,Royal Charleroi SC,€1.27m,€35.65m,1270000.0,35650000.0,https://www.transfermarkt.com/jupiler-pro-league/startseite/wettbewerb/BE1
Belgian Pro League,KV Mechelen,€1.27m,€35.55m,1270000.0,35550000.0,https://www.transfermarkt.com/jupiler-pro-league/startseite/wettbewerb/BE1
Belgian Pro League,Oud-Heverlee Leuven,€1.23m,€34.30m,1230000.0,34300000.0,https://www.transfermarkt.com/jupiler-pro-league/startseite/wettbewerb/BE1
